Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord,RSSI_Mean,RSSI_Variance,RSSI_Median
-69,-68,-76,-70,127,-73,-80,127,1,1,-22.75,8558.214285714286,-69.5
-70,-68,-76,-69,127,-75,-79,-82,1,1,-49.0,5081.714285714285,-72.5
-69,-72,-77,127,127,-74,-79,-82,1,1,-24.875,8803.267857142857,-73.0
127,-70,127,-69,-84,-76,-79,127,1,1,0.375,11017.125,-69.5
-69,-71,-77,-69,127,-75,127,-83,1,1,-23.75,8678.785714285714,-70.0
-69,-69,-75,-69,127,-74,-80,127,1,1,-22.75,8557.357142857143,-69.0
-69,-69,-75,-69,127,-75,-80,127,1,1,-22.875,8572.125,-69.0
-69,-69,-76,-69,-82,-73,-80,-83,1,1,-75.125,35.839285714285715,-74.5
-71,-70,127,-69,127,-73,-79,127,1,1,2.375,10659.125,-69.5
-71,-70,-76,-70,127,-74,-79,-83,1,1,-49.5,5107.142857142857,-72.5
-71,-70,-77,-69,-81,-74,-81,127,1,1,-49.5,5108.0,-72.5
-70,-71,-76,127,127,-75,127,-83,1,1,0.75,10944.785714285714,-70.5
-70,-73,-77,-69,127,-74,127,-82,1,1,-23.875,8688.125,-71.5
-70,-69,127,-68,127,-73,-79,127,1,1,2.75,10597.357142857143,-68.5
-70,-69,-76,-69,127,-74,127,-81,1,1,-23.125,8602.125,-69.5
-71,-70,-76,-68,127,-73,-82,-82,1,1,-49.375,5106.267857142857,-72.0
-70,-69,-77,-68,-84,-73,-81,-82,1,1,-75.5,40.285714285714285,-75.0
-70,-69,-76,-68,127,-74,127,-82,1,1,-23.125,8605.839285714286,-69.5
-70,-71,-75,-69,127,-74,-81,-82,1,1,-49.375,5101.982142857143,-72.5
-70,-70,-76,-68,127,-73,-80,127,1,1,-22.875,8571.55357142857,-70.0
127,-70,-77,-69,127,-74,-81,127,1,1,1.25,10857.357142857143,-69.5
127,-70,127,-70,-84,-74,-81,-84,1,1,-26.125,8963.839285714286,-72.0
-72,-70,-73,-70,-84,127,127,127,1,1,1.5,10819.714285714286,-70.0
-71,-71,127,127,-83,-74,-80,127,1,1,0.25,11033.357142857143,-71.0
-71,-70,-76,-69,-84,-74,-82,127,1,1,-49.875,5137.553571428572,-72.5
-69,-69,-75,-69,127,127,-81,-82,1,1,-23.875,8698.69642857143,-69.0
127,-62,-68,-74,127,-77,127,127,1,4,28.375,11135.410714285714,32.5
-76,-61,-69,-74,-80,-79,-82,-79,1,4,-75.0,48.57142857142857,-77.5
-79,-61,-68,-73,-79,-79,-80,-76,1,4,-74.375,45.69642857142857,-77.5
-79,-61,-68,-75,-79,-77,-80,-75,1,4,-74.25,43.07142857142857,-76.0
-78,-61,-68,-75,-79,-77,-80,-75,1,4,-74.125,41.839285714285715,-76.0
-79,-61,-67,-75,-79,-78,-81,-76,1,4,-74.5,48.0,-77.0
-79,-61,-67,-75,-79,-77,127,-76,1,4,-48.375,5061.410714285715,-75.5
-80,-61,-67,-75,127,-77,-81,-76,1,4,-48.75,5088.214285714285,-75.5
-79,-61,-67,-76,-79,-77,-80,-76,1,4,-74.375,45.69642857142857,-76.5
-79,-61,-67,-76,127,-76,-79,-79,1,4,-48.75,5085.928571428572,-76.0
-75,-62,-70,-71,-77,-73,127,127,1,4,-21.75,8448.785714285714,-70.5
-75,-62,-70,-72,-77,-73,127,-76,1,4,-47.25,4979.357142857143,-72.5
-75,-62,-70,-71,-77,-73,127,127,1,4,-21.75,8448.785714285714,-70.5
-74,-62,-70,-71,-77,127,127,-76,1,4,-22.0,8478.857142857143,-70.5
-75,-62,-70,-71,127,-73,-84,-76,1,4,-48.0,5038.285714285715,-72.0
-74,-62,-70,-71,-77,-72,127,-77,1,4,-47.0,4965.714285714285,-71.5
127,-62,-70,-71,-77,-73,127,-76,1,4,-21.875,8464.125,-70.5
-74,-62,-70,-71,-77,-73,127,-76,1,4,-47.0,4964.571428571428,-72.0
-74,-62,-70,-71,-77,-73,-83,-76,1,4,-73.25,37.07142857142857,-73.5
-74,-62,-70,-71,-77,-73,127,-76,1,4,-47.0,4964.571428571428,-72.0
-74,-62,-70,-71,127,-73,127,127,1,4,3.875,10408.125,-66.0
-74,-62,-70,-71,-77,-73,127,-77,1,4,-47.125,4972.982142857143,-72.0
-75,-62,-70,-71,-77,127,127,127,1,4,3.25,10520.214285714286,-66.0
-74,-62,-70,-71,127,-73,127,-76,1,4,-21.5,8418.0,-70.5
-74,-62,127,-71,-77,-73,127,-76,1,4,-22.375,8521.125,-72.0
-73,-62,-70,-71,-78,-73,127,-76,1,4,-47.0,4965.714285714285,-72.0
127,-62,127,-71,-76,-72,127,-76,1,4,3.0,10562.285714285714,-66.5
-74,-62,-71,-71,-78,-74,127,-77,1,4,-47.5,4995.714285714285,-72.5
-74,-64,-70,-71,-77,-72,-83,127,1,4,-48.0,5030.285714285715,-71.5
-74,-62,-70,-71,-77,127,127,127,1,4,3.375,10497.982142857143,-66.0
-74,-62,127,-71,-77,-73,-83,-76,1,4,-48.625,5071.125,-73.5
-75,127,-70,-71,-77,-73,127,-76,1,4,-23.5,8634.285714285714,-72.0
-75,-62,-70,127,-78,-72,127,-77,1,4,-22.5,8539.142857142857,-71.0
-74,-62,-70,-71,-77,-73,-82,-77,1,4,-73.25,35.357142857142854,-73.5
-74,127,-70,-71,-77,-73,-81,-76,1,4,-49.375,5091.125,-73.5
-74,-62,-71,-71,-77,-73,127,127,1,4,-21.75,8447.642857142857,-71.0
-75,-62,-70,-71,-78,-73,127,-76,1,4,-47.25,4981.071428571428,-72.0
-75,-62,-70,-71,-78,-73,-82,-76,1,4,-73.375,35.982142857142854,-74.0
-76,-62,-70,-71,-77,-73,-82,127,1,4,-48.0,5034.285714285715,-72.0
127,-62,-70,-71,127,127,127,127,1,4,54.0,10157.42857142857,127.0
-75,-62,-70,-71,127,-73,127,127,1,4,3.75,10430.5,-66.0
-75,-62,-70,-71,-78,-73,-82,-75,1,4,-73.25,35.357142857142854,-74.0
-74,-62,-70,-71,-77,-72,-83,-77,1,4,-73.25,38.214285714285715,-73.0
-74,-62,-70,-71,-77,-73,-84,-76,1,4,-73.375,39.982142857142854,-73.5
-74,-62,127,-71,-77,-73,-84,-76,1,4,-48.75,5081.071428571428,-73.5
-75,-62,-70,-71,-77,-72,-84,-76,1,4,-73.375,40.55357142857143,-73.5
-75,-62,127,-71,-77,-72,-84,-77,1,4,-48.875,5089.553571428572,-73.5
-75,-62,-70,-71,-77,-73,127,-76,1,4,-47.125,4972.410714285715,-72.0
-75,-62,-70,-71,127,-73,-83,-77,1,4,-48.0,5036.285714285715,-72.0
-75,-62,-70,-71,-77,-73,127,-76,1,4,-47.125,4972.410714285715,-72.0
-74,-62,-70,-71,-76,-73,127,-75,1,4,-46.75,4947.928571428572,-72.0
-75,-62,-70,-71,-77,-72,127,-76,1,4,-47.0,4965.142857142857,-71.5
-75,-62,-70,-71,-77,-72,127,-76,1,4,-47.0,4965.142857142857,-71.5
-74,-62,-70,-71,-77,-72,127,-76,1,4,-46.875,4957.267857142857,-71.5
-75,-62,-70,-71,-77,-73,127,127,1,4,-21.75,8448.785714285714,-70.5
-75,-62,-69,-71,-77,-72,127,-77,1,4,-47.0,4967.142857142857,-71.5
-75,-62,-70,-71,-77,-73,-82,-76,1,4,-73.25,34.785714285714285,-74.0
-75,-62,-70,-71,-77,-72,127,-76,1,4,-47.0,4965.142857142857,-71.5
-74,-62,127,-71,-78,-73,127,-76,1,4,-22.5,8536.857142857143,-72.0
-74,-62,-70,-71,-77,-73,-83,-76,1,4,-73.25,37.07142857142857,-73.5
-75,-62,-70,-71,127,-72,127,-77,1,4,-21.625,8434.267857142857,-70.5
-75,-62,-70,-71,-77,-73,-84,127,1,4,-48.125,5046.410714285715,-72.0
