Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-66,127,-73,-71,127,127,127,-77,0,4
-65,-60,-73,-71,127,127,127,-78,0,4
-66,-60,-73,-71,127,127,127,-77,0,4
-67,-61,-73,-71,127,127,127,-77,0,4
-67,-61,127,-71,127,127,127,-77,0,4
-67,-61,-73,-71,127,127,127,-77,0,4
-66,-60,-73,-71,127,127,127,-77,0,4
-66,-61,-73,-70,127,127,127,127,0,4
-66,-61,-73,-70,127,127,127,127,0,4
-68,127,-73,-71,127,127,127,-77,0,4
-68,-61,-72,-71,127,127,127,-78,0,4
-66,-61,-73,-71,-85,127,127,-80,0,4
127,-61,-72,-71,127,127,127,-78,0,4
-68,-61,-73,127,127,127,127,-79,0,4
-69,-61,-72,127,127,127,127,-79,0,4
-68,-61,-72,-71,127,127,127,-78,0,4
-68,-60,-73,-71,127,127,127,-78,0,4
-68,-61,-73,-72,127,127,127,-78,0,4
-68,-61,127,127,127,127,127,-78,0,4
-68,-61,-73,-71,127,127,127,127,0,4
-67,-61,-73,-71,127,127,127,-78,0,4
-68,-61,-71,-71,127,127,127,127,0,4
127,-61,-73,-71,127,127,127,-78,0,4
-67,-61,-73,-71,-84,127,127,-78,0,4
-68,-61,-73,-70,127,127,127,-79,0,4
-67,-61,-73,-71,127,127,127,-78,0,4
-68,-61,-72,-71,127,127,127,-78,0,4
-68,-61,-73,-71,127,127,127,-78,0,4
-67,-61,-73,-71,127,127,127,-78,0,4
-67,-61,-72,-71,127,127,127,-77,0,4
-67,-61,-72,-71,127,127,127,-77,0,4
-67,-61,-72,-70,127,127,127,-79,0,4
-68,-61,-72,-71,127,127,127,-78,0,4
-68,-61,-72,-70,127,127,127,-78,0,4
-67,-61,-73,-71,127,127,127,-78,0,4
-67,-61,-72,-71,-83,127,127,-78,0,4
-68,-61,-72,-71,127,127,127,-77,0,4
-68,-61,-72,-72,127,127,127,-76,0,4
-68,-61,-73,-72,127,127,127,-77,0,4
-68,-61,-73,-71,127,127,127,-77,0,4
-68,-61,127,-71,127,127,127,-77,0,4
-68,-61,-72,-71,127,127,127,-77,0,4
-70,-73,-70,-69,-75,-76,-82,127,1,6
-70,-74,-69,127,-74,-75,127,127,1,6
-70,-73,-69,-68,-75,-76,127,127,1,6
-70,-73,-70,-67,127,-76,-80,127,1,6
-69,-74,-71,-69,127,-75,-81,-82,1,6
-74,-69,-80,-79,127,127,127,127,1,6
-79,-69,-77,127,-77,-77,127,-83,1,6
-72,-68,-80,-71,-77,127,127,127,1,6
-73,-69,-81,-71,-77,-75,127,-83,1,6
-74,127,-79,-70,-77,-75,127,127,1,6
-74,-69,-79,-70,-77,-75,127,-81,1,6
-73,127,-79,-71,-76,-75,127,127,1,6
-73,-69,-79,-70,-77,-75,-82,-81,1,6
-73,-69,-79,127,-77,-75,127,-81,1,6
-73,-69,-79,-71,127,-75,127,-81,1,6
-73,-69,-79,-70,-77,127,-83,-80,1,6
-73,-69,-80,-71,-77,-75,127,-82,1,6
-74,-69,-79,-71,127,127,-83,-81,1,6
-74,-69,127,-71,127,-74,127,127,1,6
-74,-69,-80,-71,127,-73,-82,127,1,6
-73,-71,-78,-71,-77,127,127,-82,1,6
-75,127,127,-71,-77,-74,-82,-81,1,6
-74,-69,-79,127,-76,-75,127,-81,1,6
-73,-69,-79,-71,127,-75,127,127,1,6
-74,-69,-79,-71,-76,-75,127,-81,1,6
-74,-68,-79,-71,-77,-75,127,-81,1,6
-74,127,-79,-71,-77,-74,127,127,1,6
-74,-68,-78,-71,-77,-75,127,-81,1,6
-73,-70,-79,-70,-76,-74,-83,-80,1,6
-73,-69,-79,-70,-77,-75,127,-80,1,6
-74,-69,-78,-71,-77,-74,127,127,1,6
-73,-69,-79,-71,-77,-75,127,-81,1,6
-74,-69,127,-70,-78,127,127,-80,1,6
-74,-69,127,-71,127,127,127,-81,1,6
-74,-70,-78,-71,-76,-75,-81,-81,1,6
-74,-69,127,-71,127,-74,127,-81,1,6
127,-69,-78,-70,-76,-75,127,127,1,6
-75,-69,-78,-70,127,-74,-79,-81,1,6
-75,-69,-77,-70,-77,-74,127,-82,1,6
-75,-69,127,-70,-77,-75,-82,-80,1,6
-75,127,-78,-70,127,-75,-80,127,1,6
-75,-69,-78,-70,-75,-75,-83,-81,1,6
-74,-69,127,-70,-77,-74,127,127,1,6
-77,127,-77,-70,-77,-75,127,127,1,6
-75,-69,-77,-70,127,-75,-82,-81,1,6
127,-70,-76,-70,127,-76,-82,127,1,6
