Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
127,-67,127,-74,127,127,-78,-67,0,1
127,-68,-69,-72,127,-76,-81,-67,0,1
127,-68,-68,127,-85,-75,127,-67,0,1
127,127,127,-69,-83,-76,127,-68,0,1
127,-68,-68,127,127,127,-78,-65,0,1
127,-68,127,-72,-85,127,-79,-68,0,1
127,-68,127,-73,127,127,-77,-69,0,1
127,127,127,-71,127,127,127,-68,0,1
127,127,-67,-73,127,-76,-78,-69,0,1
127,-69,127,127,127,127,127,-69,0,1
127,-68,-68,-79,127,127,127,-69,0,1
127,-68,-67,-76,-84,-76,-78,-68,0,1
127,-68,-67,-74,127,-77,-79,-69,0,1
127,-68,-67,-75,127,-77,127,-67,0,1
127,-68,127,-72,127,-78,-78,127,0,1
127,-68,-69,-71,-84,127,-76,-67,0,1
127,127,-69,127,127,127,-77,-68,0,1
127,-68,-68,-72,127,127,-77,127,0,1
127,-69,-68,127,127,127,-77,-66,0,1
127,127,127,-75,-86,-75,-76,-67,0,1
127,-69,-68,-73,127,-74,-76,-67,0,1
127,127,-68,127,-87,-75,-76,-67,0,1
127,-69,-68,-74,127,-74,-76,-67,0,1
127,-69,-68,-74,127,127,-75,-67,0,1
127,-69,127,127,127,127,-76,-67,0,1
127,127,-68,127,127,-75,-76,-67,0,1
127,127,-68,127,-87,127,-77,-68,0,1
127,127,-68,127,127,127,127,127,0,1
127,127,-68,-72,127,127,127,-69,0,1
127,-69,-68,-71,127,127,-77,-69,0,1
127,-69,-67,-72,127,-75,-78,-68,0,1
127,127,-66,127,-87,127,-75,127,0,1
127,127,127,-71,127,-74,-77,-68,0,1
127,-69,127,-71,-87,127,-76,-68,0,1
127,-69,127,-72,127,-75,127,-68,0,1
127,-68,-68,-70,127,-75,-77,127,0,1
127,127,127,-70,127,-74,-77,127,0,1
127,127,127,-70,127,-75,-77,-69,0,1
127,127,127,127,127,127,-76,-67,0,1
127,-68,-68,127,127,127,-76,-68,0,1
127,-69,-68,127,127,-76,-78,-67,0,1
127,127,-69,-72,127,-76,-75,-68,0,1
127,127,-68,127,127,-77,-75,-68,0,1
127,-69,-68,-72,127,-77,-75,-69,0,1
127,-69,-68,127,127,-77,127,-69,0,1
-84,-69,127,127,127,127,-78,-69,0,1
127,-68,-68,-73,127,-78,-78,-68,0,1
127,-69,-68,127,127,-78,-77,127,0,1
127,-69,-68,-73,127,127,127,127,0,1
127,-68,127,-72,127,-78,-77,-69,0,1
127,127,-68,-73,127,-78,127,-69,0,1
127,127,-68,127,127,127,127,-69,0,1
127,-69,127,-73,127,127,127,127,0,1
127,-69,127,-72,127,-79,-76,-68,0,1
127,-67,-68,127,127,-78,127,-68,0,1
127,127,-68,-72,127,127,127,-68,0,1
127,-68,-67,-72,127,-78,127,-67,0,1
127,-68,-68,127,127,-77,-78,-68,0,1
127,-69,127,-71,127,127,-78,-69,0,1
127,-68,-67,127,127,-77,-79,-69,0,1
127,-68,-68,-71,127,127,-78,-67,0,1
127,-67,127,-72,-85,-75,-77,-68,0,1
127,127,-68,-70,127,-75,-77,127,0,1
127,127,-68,-71,127,127,-78,-68,0,1
127,-66,-68,-70,127,127,-79,-68,0,1
127,-68,-67,127,127,127,127,-67,0,1
127,-68,127,-71,127,127,-79,-67,0,1
127,-66,-67,-70,127,-76,127,-67,0,1
127,-67,-68,-70,127,-77,-78,-68,0,1
127,-67,127,127,127,-78,-76,-68,0,1
127,-68,127,-71,-85,127,-79,-73,0,1
127,-68,-68,-71,127,-78,-78,-68,0,1
127,-68,127,-74,127,-77,-78,-68,0,1
127,-67,-68,-84,127,-79,-77,-68,0,1
127,-68,-68,-84,-85,-77,-77,-68,0,1
-70,127,127,-74,127,127,-76,-81,0,2
127,127,-74,-73,127,127,-75,-81,0,2
-70,127,-74,-73,127,-71,-75,-80,0,2
-70,127,-75,-73,127,-70,127,-78,0,2
-70,127,127,-72,-84,-71,-75,-81,0,2
-70,127,-74,-73,-84,-71,-75,127,0,2
-70,127,-74,-73,-84,-71,-75,127,0,2
-70,127,-74,-73,127,-71,-76,-81,0,2
-70,127,-74,-72,127,-71,127,-79,0,2
-70,-83,-75,-72,127,-71,-75,-82,0,2
-70,127,-74,-73,127,127,-75,-81,0,2
-70,127,-74,-73,-85,-71,-75,-81,0,2
-70,127,-75,-73,127,-71,-75,127,0,2
-70,127,127,127,127,-70,-75,-81,0,2
127,127,127,-73,127,-70,-75,-82,0,2
-70,127,-74,-73,-84,-70,-75,-84,0,2
-70,127,127,-73,-84,-71,-75,-82,0,2
-70,-84,-75,-73,127,-71,127,127,0,2
-70,127,127,-73,127,-71,127,-85,0,2
127,127,127,127,127,-71,-75,127,0,2
-71,127,-74,-73,127,127,-75,127,0,2
-70,-84,-74,-74,-85,-70,-75,-80,0,2
-71,127,-74,127,-85,-70,-75,-78,0,2
-71,127,-74,-73,127,-71,-75,-82,0,2
-71,-84,127,-73,127,-71,-75,-81,0,2
127,127,-75,-73,127,-71,-75,-79,0,2
127,127,-75,127,-84,-71,-75,-80,0,2
-71,127,127,-73,127,-71,-77,-80,0,2
-70,127,-75,127,127,-72,-75,127,0,2
-70,127,127,-73,127,-71,-75,-81,0,2
-70,127,-75,127,127,-70,127,-83,0,2
-71,127,-74,127,127,-71,-75,127,0,2
-71,127,-75,-72,-84,127,-75,127,0,2
-71,127,-75,-72,127,-71,-75,127,0,2
-71,127,-75,-72,127,-71,-75,127,0,2
-71,127,-74,127,127,127,-75,-84,0,2
